point,era,event_class,first_fired_at,last_active_at,max_severity,max_confidence,fired_conditions
pafuri,modern,flood,2017-02-17 05:00:00,2017-02-17 20:00:00,severe,1.0,rain_24|rain_48|rsat_24|rsat_72
xai_xai,modern,flash_flood,2017-04-15 07:00:00,2017-04-15 09:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
chokwe,modern,flash_flood,2017-11-16 00:00:00,2017-11-16 01:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
xai_xai,modern,flash_flood,2017-11-16 00:00:00,2017-11-16 05:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
xai_xai,modern,flash_flood,2018-02-17 10:00:00,2018-02-17 19:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
chokwe,modern,flash_flood,2018-02-17 14:00:00,2018-02-17 19:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
chokwe,modern,tornado,2018-11-20 17:00:00,2018-11-20 17:00:00,severe,1.0,moist|mslp_fall|shear_high|theta_e_high|theta_e_surge
xai_xai,modern,tornado,2018-11-20 18:00:00,2018-11-20 18:00:00,severe,1.0,moist|mslp_fall|shear_high|theta_e_high|theta_e_surge
mapai,modern,flash_flood,2018-12-09 03:00:00,2018-12-09 05:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
mapai,modern,flash_flood,2019-01-03 06:00:00,2019-01-03 19:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
xai_xai,modern,flash_flood,2019-01-16 04:00:00,2019-01-16 14:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
chokwe,modern,flash_flood,2019-01-16 05:00:00,2019-01-16 12:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
xai_xai,modern,flood,2019-01-16 07:00:00,2019-01-17 04:00:00,severe,1.0,rain_24|rain_48|rsat_24|rsat_72
chokwe,modern,flash_flood,2019-02-05 06:00:00,2019-02-05 10:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
thohoyandou,modern,flash_flood,2019-02-14 04:00:00,2019-02-16 15:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
musina,modern,flash_flood,2019-02-14 08:00:00,2019-02-16 07:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
pafuri,modern,flash_flood,2019-02-14 08:00:00,2019-02-17 04:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
mapai,modern,flash_flood,2019-02-14 10:00:00,2019-02-17 08:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
musina,modern,flood,2019-02-14 11:00:00,2019-02-15 06:00:00,severe,1.0,rain_24|rain_48|rsat_24|rsat_72
thohoyandou,modern,flood,2019-02-14 11:00:00,2019-02-16 03:00:00,severe,1.0,rain_24|rain_48|rsat_24|rsat_72
mapai,modern,flood,2019-02-15 04:00:00,2019-02-16 02:00:00,severe,1.0,rain_24|rain_48|rsat_24|rsat_72
pafuri,modern,flood,2019-02-15 11:00:00,2019-02-16 05:00:00,severe,1.0,rain_24|rain_48|rsat_24|rsat_72
chokwe,modern,flash_flood,2019-02-16 12:00:00,2019-02-16 20:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
xai_xai,modern,flash_flood,2019-02-16 14:00:00,2019-02-16 22:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
chokwe,modern,flash_flood,2019-04-03 06:00:00,2019-04-03 18:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
xai_xai,modern,flash_flood,2019-04-03 06:00:00,2019-04-03 18:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
xai_xai,modern,flash_flood,2019-10-10 08:00:00,2019-10-10 15:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
chokwe,modern,flood,2019-11-14 23:00:00,2019-11-15 18:00:00,severe,1.0,rain_24|rain_48|rsat_24|rsat_72
musina,modern,flash_flood,2019-12-09 11:00:00,2019-12-09 11:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
pafuri,modern,flash_flood,2019-12-09 11:00:00,2019-12-09 18:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
mapai,modern,flash_flood,2019-12-09 12:00:00,2019-12-09 22:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
pafuri,modern,flood,2019-12-10 06:00:00,2019-12-10 08:00:00,severe,1.0,rain_24|rain_48|rsat_24|rsat_72
chokwe,modern,flash_flood,2020-01-19 18:00:00,2020-01-19 21:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
musina,modern,flash_flood,2020-02-10 01:00:00,2020-02-10 09:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
thohoyandou,modern,flash_flood,2020-02-10 04:00:00,2020-02-10 19:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
xai_xai,modern,flash_flood,2020-02-10 04:00:00,2020-02-10 05:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
thohoyandou,modern,flood,2020-02-10 13:00:00,2020-02-12 03:00:00,severe,1.0,rain_24|rain_48|rsat_24|rsat_72
musina,modern,flood,2020-02-11 05:00:00,2020-02-12 00:00:00,severe,1.0,rain_24|rain_48|rsat_24|rsat_72
musina,modern,tornado,2020-10-01 21:00:00,2020-10-01 21:00:00,severe,1.0,moist|mslp_fall|shear_high|theta_e_high|theta_e_surge
